onset	duration
32.9	0.09
35.9	0.09
38.9	0.09
41.9	0.09
44.9	0.09
47.9	0.09
50.9	0.09
53.9	0.09
56.9	0.09
59.9	0.09
95.9	0.09
98.9	0.09
101.9	0.09
104.9	0.09
107.9	0.09
110.9	0.09
113.9	0.09
116.9	0.09
119.9	0.09
122.9	0.09
158.9	0.09
161.9	0.09
164.9	0.09
167.9	0.09
170.9	0.09
173.9	0.09
176.9	0.09
179.9	0.09
182.9	0.09
185.9	0.09
221.9	0.09
224.9	0.09
227.9	0.09
230.9	0.09
233.9	0.09
236.9	0.09
239.9	0.09
242.9	0.09
245.9	0.09
248.9	0.09
284.9	0.09
287.9	0.09
290.9	0.09
293.9	0.09
296.9	0.09
299.9	0.09
302.9	0.09
305.9	0.09
308.9	0.09
311.9	0.09
347.9	0.09
350.9	0.09
353.9	0.09
356.9	0.09
359.9	0.09
362.9	0.09
365.9	0.09
368.9	0.09
371.9	0.09
374.9	0.09
410.9	0.09
413.9	0.09
416.9	0.09
419.9	0.09
422.9	0.09
425.9	0.09
428.9	0.09
431.9	0.09
434.9	0.09
437.9	0.09
473.9	0.09
476.9	0.09
479.9	0.09
482.9	0.09
485.9	0.09
488.9	0.09
491.9	0.09
494.9	0.09
497.9	0.09
500.9	0.09
536.9	0.09
539.9	0.09
542.9	0.09
545.9	0.09
548.9	0.09
551.9	0.09
554.9	0.09
557.9	0.09
560.9	0.09
563.9	0.09
599.9	0.09
602.9	0.09
605.9	0.09
608.9	0.09
611.9	0.09
614.9	0.09
617.9	0.09
620.9	0.09
623.9	0.09
626.9	0.09
